,name,obsid,main_type,HMXB,Orion_V*,QSO,TTau*,YSO
9473,2CXO J063415.2+175100,15622,Orion_V*,0.24777090016639933,0.2672993333303354,0.22477056733917616,0.09113830903608817,0.16902089012800098
9613,2CXO J064058.4+093331,13610,TTau*,0.15528028926619938,0.16783116651839186,0.13143904154995062,0.340909519324343,0.2045399833411152
9845,2CXO J065032.6+413031,4379,Orion_V*,0.22315146673791436,0.31041367068267983,0.07719944290289095,0.23037839619613867,0.15885702348037609
9846,2CXO J065032.6+413031,3208,HMXB,0.245904471789143,0.21161184698406146,0.09963675688981799,0.23645047110587913,0.20639645323109856
9889,2CXO J065715.3-560007,5361,QSO,0.19749898278138858,0.20087618375789476,0.3063297888108393,0.14579681990398838,0.14949822474588895
9915,2CXO J065814.5-071245,14635,TTau*,0.14903011226694987,0.2479454499209828,0.10729902530892614,0.33339896545929554,0.16232644704384555
9923,2CXO J065856.0-555205,3184,YSO,0.17003363904017033,0.15359204042973312,0.18993840605975637,0.11180811330421699,0.37462780116612326
9937,2CXO J065922.0-555014,5356,QSO,0.21046825206338948,0.0920638024292726,0.3484949551078878,0.21009690227906802,0.13887608812038194
9981,2CXO J071540.9+470852,4199,YSO,0.19137162911854078,0.23757806562315872,0.10860297109941282,0.10247142011664205,0.3599759140422456
10069,2CXO J072117.1+560429,3289,QSO,0.286396521723035,0.0955713445192616,0.293742865149069,0.1415626685467391,0.18272660006189526
10080,2CXO J072506.1+750158,12699,Orion_V*,0.205132291472673,0.29490163119211343,0.09967603067429381,0.1272310002493481,0.2730590464115716
10094,2CXO J072908.2+205609,7421,Orion_V*,0.2829391096710244,0.3180641032602445,0.08026217428930563,0.15090428678765952,0.16783032599176612
10138,2CXO J074111.5+741450,10470,TTau*,0.14281825571261084,0.12915345506098908,0.2282792670905305,0.2823125045049218,0.21743651763094785
10164,2CXO J074414.9+375645,9407,TTau*,0.23403063440801222,0.17920397328485735,0.09833541350899234,0.26461551059775146,0.2238144682003866
10165,2CXO J074414.9+375645,9408,HMXB,0.3093935001958649,0.2753749482508813,0.13467376172586773,0.07305007118930122,0.20750771863808493
10166,2CXO J074414.9+375656,9408,Orion_V*,0.22312623218601121,0.28520832433877374,0.10100296989128099,0.1982286547447593,0.19243381883917465
10167,2CXO J074414.9+375656,9407,HMXB,0.30025254194932655,0.278422899120192,0.07452370185226237,0.12347868871580538,0.22332216836241361
10168,2CXO J074414.9+375656,9774,HMXB,0.2907026014588542,0.22160078960874285,0.07874867334892736,0.21080331179563777,0.19814462378783793
10171,2CXO J074423.3+375514,9407,HMXB,0.33255783372393966,0.30815219189018844,0.06559219600772571,0.14495559840345149,0.1487421799746948
10172,2CXO J074423.3+375514,9774,TTau*,0.2460338687666741,0.1474391014517645,0.11794962266428047,0.3584103649371558,0.13016704218012504
10176,2CXO J074452.0+380251,9407,QSO,0.23487359306366629,0.20528426929591548,0.29028570631011963,0.09590283838389846,0.17365359294640023
10177,2CXO J074452.0+380251,9774,QSO,0.22689717825807376,0.0941757003698523,0.27903295509254433,0.21365876421729682,0.18623540206223285
10210,2CXO J074814.4-192110,12881,HMXB,0.29341084429040154,0.147898979022744,0.2922568140513994,0.15996498955546568,0.10646837307998931
10211,2CXO J074818.6-191731,12881,QSO,0.13283875410401055,0.1628298589067144,0.2827376445414154,0.2750173922365367,0.14657635021132287
10218,2CXO J075120.1+500356,15170,YSO,0.23124525220461398,0.1971373252217542,0.21779651908139128,0.11437670979882954,0.23944419369341108
10276,2CXO J081500.1-032251,12729,HMXB,0.3639508448654292,0.21985757375868514,0.18177569755956666,0.10880711881206818,0.12560876500425067
10285,2CXO J081930.4+634259,2199,HMXB,0.3738389266157883,0.28203569949041735,0.11761572741248963,0.04208430765240249,0.18442533882890225
10310,2CXO J082446.5+434816,16022,QSO,0.16706582800726977,0.13096264834186805,0.33231417978109956,0.3028509281933685,0.06680641567639407
10366,2CXO J083453.0-451255,10135,Orion_V*,0.21378860886731926,0.36318306434069964,0.1647080359748553,0.06397904707379126,0.19434124374333475
10448,2CXO J084044.4+295752,12119,QSO,0.19748334796333503,0.10699605123184984,0.31111190424903873,0.22404238630980353,0.1603663102459728
10463,2CXO J084155.0-173849,15316,QSO,0.1684994247487257,0.11867257299702809,0.45870360795029963,0.177983992780415,0.07614040152353163
10467,2CXO J084206.4-173409,15316,TTau*,0.20948720166889395,0.162428299438603,0.09324459679197133,0.2910660117021818,0.24377389039834993
10554,2CXO J085327.7+511503,2061,HMXB,0.3635077564200907,0.10618903396901433,0.2726190153222846,0.13259047325603482,0.12509372103257557
10592,2CXO J085818.4-450216,743,HMXB,0.33776762107868563,0.17623377678652966,0.13965348500941382,0.11438862149131773,0.23195649563405302
10619,2CXO J085935.8-434457,6433,YSO,0.09454445159272368,0.2391049070866143,0.057899126915710614,0.05300244402850725,0.5554490703764441
